,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
49,292738169,Deezer - Listen to your Favorite Music & Playlists,127470592,USD,0,4677,12,3,4,6.19.0,12+,Music,37,5,21,1
50,293118835,iStellar,44241920,USD,3.99,30,0,3.5,0,2.9.0,4+,Navigation,37,0,2,0
51,293523031,Sonos Controller,107983872,USD,0,48905,2691,4.5,4.5,7.2,4+,Music,37,4,12,1
52,293573778,Avertinoo,8044544,USD,4.99,32,0,3,0,3.9.2,4+,Navigation,38,5,7,1
53,293622097,Google Earth,37214208,USD,0,446185,1359,3.5,3.5,7.1.6,4+,Travel,43,5,30,1
54,293760823,iFart - The Original Fart Sounds App,60320768,USD,1.99,21825,10,3,4,4.0.8,9+,Entertainment,37,5,1,1
55,293778748,PAC-MAN,100849664,USD,0,508808,99,3,4.5,6.3.5,4+,Games,38,5,10,1
57,294056623,FOX Sports Mobile,72748032,USD,0,57500,103,3,4,3.5.13,4+,Sports,37,0,1,0
58,294536447,First Words Animals,32164864,USD,1.99,2576,4,4,5,7,4+,Games,38,5,1,1
59,294631159,WeatherPro,69079040,USD,1.99,1572,34,4,4.5,4.8.2,4+,Weather,37,0,13,1
60,294934058,HotSchedules,82037760,USD,2.99,3292,2,3,5,4.56.1,4+,Business,37,2,2,1
61,295430577,Star Walk - Find Stars And Planets in Sky Above,150195200,USD,4.99,8932,55,4.5,5,7.2.3,4+,Education,37,0,12,1
62,295646461,"The Weather Channel: Forecast, Radar & Alerts",199734272,USD,0,495626,5893,3.5,4.5,8.11,4+,Weather,37,0,33,1
63,295759189,Big Day - Event Countdown,13156352,USD,0.99,812,14,3,4,8.2.0,4+,Lifestyle,38,0,7,1
64,295775656,12 Steps AA Companion - Alcoholics Anonymous,30367744,USD,2.99,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,37,5,1,1
65,296581815,OpenTable - Restaurant Reservations,93420544,USD,0,113936,150,4.5,5,10.18.0,4+,Food & Drink,37,1,6,1
66,297244048,VLC Remote,31505408,USD,4.99,2027,2,4,5,9.3,4+,Entertainment,37,5,33,1
67,297332787,gFlashPro - Flashcards & Tests,25997312,USD,3.99,768,4,4,4,7.1,4+,Education,37,3,3,1
68,297368629,Lose It! – Weight Loss Program and Calorie Counter,182054912,USD,0,373835,402,4,4.5,8.0.2,4+,Health & Fitness,37,3,1,1
69,297430070,Target,138754048,USD,0,108131,13,3,2,8.21.0,4+,Shopping,37,0,1,1
70,297606726,Fish Tycoon,13564835,USD,0.99,18943,1787,3.5,4.5,1.1.0,4+,Games,47,0,1,1
71,297606951,"Amazon App: shop, scan, compare, and read reviews",133688320,USD,0,126312,22,3.5,3,9.10.0,4+,Shopping,37,5,8,1
72,297694601,Touchgrind,55205888,USD,4.99,35735,378,4,4.5,1.5.1,4+,Games,40,0,0,1
73,298127110,ProPresenter Remote,46922752,USD,4.99,410,7,3,2.5,4.8.1,4+,Utilities,37,5,1,1
74,298206806,iReal Pro - Music Book & Play Along,63283200,USD,12.99,1390,143,4.5,5,7.0.1,4+,Music,37,5,33,1
75,298596830,NRJ Radio,53426176,USD,0,38,2,3.5,5,5.2.6,4+,Music,37,5,4,1
76,298867247,Chase Mobile℠,39505920,USD,0,233270,14625,4.5,4.5,2.61,4+,Finance,37,0,2,1
77,299029654,大辞林,210088960,USD,21.99,64,0,4.5,0,4.1.1,4+,Reference,37,5,2,1
79,299515267,Allrecipes Dinner Spinner,36399104,USD,0,109349,1540,3.5,5,6.3,12+,Food & Drink,37,5,1,1
80,299853944,新浪新闻-阅读最新时事热门头条资讯视频,115143680,USD,0,2229,4,3.5,1,6.2.1,17+,News,37,0,1,1
81,299949744,MotionX GPS,56481792,USD,1.99,14970,24,3.5,4.5,24.2,4+,Navigation,37,0,1,1
82,300048137,AccuWeather - Weather for Life,181941248,USD,0,144214,2162,3.5,4,10.4.1,4+,Weather,37,1,43,1
83,300238550,"Mint: Personal Finance, Budget, Bills & Money",162891776,USD,0,232940,683,4,4.5,5.9.0,4+,Finance,37,5,1,1
84,300255638,ABC News - US & World News + Live Video,98108416,USD,0,48407,20,3,3.5,5.16,12+,News,37,0,1,0
85,300265786,Rowmote: Remote Control for Mac,54088704,USD,0.99,5531,37,3.5,2.5,4.3,4+,Utilities,40,3,13,1
86,300590611,Peekaboo Barn,50155520,USD,1.99,3393,77,4,4,5.1.0,4+,Education,43,5,1,1
87,300704847,Speedtest by Ookla,23936000,USD,0,65016,274,3.5,5,3.8.2,4+,Utilities,38,4,17,1
89,301387274,Pocket God,145293312,USD,0.99,187529,1071,4,4,1.48.2,9+,Entertainment,43,5,1,1
90,301521403,Nike+ Training Club - Workouts & Fitness Plans,140367872,USD,0,33969,466,3.5,5,5.4.1,4+,Health & Fitness,37,0,17,1
91,301724680,Citi Mobile®,281244672,USD,0,48822,193,3.5,4,8.5.0,4+,Finance,37,0,1,1
92,302049354,Phase 10 Pro - Play Your Friends!,66695168,USD,1.99,59155,101,4.5,2.5,3.2.0,4+,Games,40,5,1,1
93,302584613,"Kindle – Read eBooks, Magazines & Textbooks",169747456,USD,0,252076,80,3.5,4.5,5.11,4+,Book,37,5,9,1
95,303058767,MASH,41691136,USD,1.99,4913,1,4,4,3.3.2,9+,Games,37,3,15,1
96,303191318,同花顺-炒股、股票,122886144,USD,0,1744,0,3.5,0,10.10.46,4+,Finance,37,0,1,1
97,303337299,Wedding Dash Deluxe,55803904,USD,0.99,16567,1155,4.5,4.5,2.29.13,4+,Games,43,4,1,1
99,303849934,Beer Pong Game,188956672,USD,0,187315,9,2,4,17.05.15,17+,Games,37,5,9,1
100,304731501,Tempo - Metronome with Setlists,22185984,USD,2.99,4781,1,4.5,5,3.9.2,4+,Music,37,5,10,1
101,304770340,Skat,66160640,USD,3.99,94,4,4.5,4.5,11.0.10,4+,Games,37,0,1,1
102,304871603,Color Splash,28135424,USD,0.99,29554,55,4,5,3.6.1,4+,Photo & Video,37,0,3,1
103,304871622,Zombieville USA,27962441,USD,0.99,32988,2489,4,4,1.7,12+,Games,47,5,1,1
104,304878510,Skype for iPhone,133238784,USD,0,373519,127,3.5,4,6.35.1,4+,Social Networking,37,0,32,1
105,305343404,Tumblr,151573504,USD,0,334293,919,4,4,8.6,17+,Social Networking,37,5,16,1
106,305557780,iSwap Faces,27069440,USD,1.99,2302,3,3.5,5,5.1,4+,Photo & Video,37,5,1,1
107,305939712,Match™ - #1 Dating App.,101259264,USD,0,60659,57,3,2.5,17.05.01,17+,Social Networking,37,5,10,1
108,306169895,Tozzle - Toddler's favorite puzzle,168192000,USD,2.99,2562,10,4,4.5,5.1,4+,Games,37,5,4,1
109,306257910,HomeBudget with Sync,17485824,USD,4.99,3042,6,3.5,4,3.3.0,4+,Finance,37,5,11,1
110,306375551,Wind Meter,5234688,USD,0.99,338,12,2.5,2,5,4+,Weather,43,0,1,1
111,306468004,Map My Run+ - GPS Running & Workout Tracker,237913088,USD,2.99,16434,3,4.5,4.5,17.5.5,4+,Health & Fitness,37,0,9,1
112,306561234,Map My Ride+ - GPS Cycling & Route Tracker,233513984,USD,2.99,10046,7,4.5,5,17.5.5,4+,Health & Fitness,37,0,9,1
113,306621789,"HuffPost - News, Politics & Entertainment",110420992,USD,0,29107,85,3,4,11.2,12+,News,37,5,10,1
114,306628397,Phrase Party!,47774720,USD,1.99,878,48,4,4.5,8.7.5,17+,Games,38,5,1,1
115,306937053,Minesweeper Classic,22259712,USD,0.99,1140,20,3.5,3.5,3.6,4+,Games,37,4,1,1
116,307132353,Sally's Spa,431771648,USD,2.99,35074,403,4.5,4,3.3.0,4+,Games,43,0,6,1
117,307184892,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,USD,0,59639,11,3,2.5,10.2.2,17+,Sports,37,4,1,1
118,307219387,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,USD,4.99,2913,357,4,5,7.4,4+,Health & Fitness,43,5,1,1
119,307354030,iSwap Faces LITE,30796800,USD,0,39722,0,3,0,5.1,4+,Photo & Video,37,5,1,1
120,307386350,DIRECTV,151397376,USD,0,81006,25,3.5,3,4.9.705,4+,Entertainment,37,0,1,1
121,307569751,NYTimes Crossword - Daily Word Puzzle Game,46880768,USD,0,53465,204,3.5,4,2.8.1,4+,Games,37,5,1,1
122,307727765,Doodle Jump,48741376,USD,0.99,395261,88,4.5,4.5,3.17.6,4+,Games,37,0,1,1
123,307741537,LEDit – The LED Banner App,17145856,USD,1.99,2021,147,4.5,4.5,3.5.1,4+,Utilities,37,4,12,1
124,307764057,niconico,25808896,USD,0,182,0,3,0,6.52,17+,Entertainment,37,5,3,1
125,307906541,Fandango Movies - Times + Tickets,81924096,USD,0,291787,589,4,5,8.6,4+,Entertainment,37,4,1,1
126,308111628,iCab Mobile (Web Browser),19451904,USD,1.99,2441,4,4,5,9.9,17+,Utilities,38,4,12,1
128,308339980,iRagdoll - Ragdoll Physics,118683648,USD,0.99,1372,25,4,4,1.8.3,12+,Games,37,2,1,1
129,308368164,Proloquo2Go - Symbol-based AAC,723764224,USD,249.99,773,10,4,3.5,5.0.1,4+,Education,37,5,3,1
130,308750436,Dictionary.com Dictionary & Thesaurus,111275008,USD,0,200047,177,4,4,7.1.3,4+,Reference,37,0,1,1
132,308834491,20 Minutes.fr - l'actualité en continu,109616128,USD,0,112,0,3.5,0,5.0.11,12+,News,37,5,17,1
133,309025938,The Masters Tournament,120725504,USD,0,148160,63,4.5,3.5,9.0.701,4+,Sports,37,5,1,1
134,309172177,myAT&T,68491264,USD,0,108507,628,3,3,5.3,4+,Utilities,37,5,2,1
135,309187846,SFR TV,122153984,USD,0,46,0,3,0,7.3.0,4+,Entertainment,37,5,1,1
136,309465525,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,USD,0,51427,874,4,5,7.7.0,4+,Photo & Video,37,5,1,1
137,309527804,StickWars,17010688,USD,0.99,53821,165,3.5,4,1.8.9,12+,Games,43,1,1,0
138,309735670,Indeed Job Search,3691520,USD,0,38681,563,4,4.5,4.3,4+,Business,37,3,28,1
139,310303959,World Cup Table Tennis™,31387648,USD,0.99,17776,6,4,5,4.6.1,4+,Games,37,0,11,1
140,310633997,WhatsApp Messenger,135044096,USD,0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,12,0,35,1
141,310636441,"iStudiez Pro – Homework, Schedule, Grades",55815168,USD,2.99,7308,15,4,4.5,1.9.1,4+,Productivity,37,5,30,1
142,310738695,Zillow Real Estate - Homes for Sale & for Rent,132632576,USD,0,342969,88478,4.5,4.5,10.4.5,4+,Lifestyle,37,5,1,1
144,310951782,2XL Supercross,270729216,USD,4.99,6093,3,4,5,1.2.1,4+,Games,37,5,7,1
146,311466554,Pocket Tanks Deluxe,39827456,USD,4.99,5452,39,4.5,4.5,2.3.1,9+,Games,38,5,1,1
148,311548709,Wells Fargo Mobile,57328640,USD,0,43064,216,3,2.5,3.55,4+,Finance,37,0,2,1
150,311762416,radio.de - Der Radioplayer,40717312,USD,0,64,9,4.5,5,4.0.5,4+,Music,37,5,14,1
